"FECHA DE ATENCIÓN","SERVICIO DE ATENCIÓN","N° DE RECETAS","N° PRESCRIPCIONES","Controlados (Receta Blanca)","Controlados (Receta verde)","TIPO DE ATENCIÓN","ÁREA"
"5-05-2024","Controlados","5","5","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"5-05-2024","Pabellón","1","10","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"5-05-2024","Pediatria","5","26","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"5-05-2024","Alta","9","56","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"5-05-2024","Medicina","19","47","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"5-05-2024","Mater","19","58","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"5-05-2024","Urgencia","88","219","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"6-05-2024","Dental","1","1","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"6-05-2024","UPC UTI (4-12)","2","3","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"6-05-2024","Recuperación","1","5","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"6-05-2024","Mater","2","3","2","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"6-05-2024","Alta","3","7","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"6-05-2024","Medicina","1","8","10","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"6-05-2024","Urgencia","4","8","10","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
"6-05-2024","Pabellón","2","22","17","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"6-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","21","33","4","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"6-05-2024","Med. General Policlínico Crónicos (+ de 1 mes)","37","46","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"6-05-2024","Med. Especialidad Morbilidad (1 mes o menos)","42","70","8","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"6-05-2024","Controlados","69","69","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"6-05-2024","Med. Especialidad crónico (+ de 1 mes)","552","1495","17","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"6-05-2024","Endoscopía","1","1","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","HODOM","3","3","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","C. Paliativos","3","3","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","Recuperación","4","6","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","Alta","7","26","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"6-05-2024","Controlados","23","23","0","","ATENCIÓN ABIERTA","Farmacia de Atención Cerrada"
"6-05-2024","Pabellón","4","36","10","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
